# StateFile	 - Instrument State file. ex: HRC-I.alarm => use when HRC-I is selected 
# MSID	     - FOT MSID 
# EGSEMSID	 - EGSE MSID 
# VALIDFLAG	 - Ignore/Use flag for this state: 0=ignore, 1=active 
# LR         - Lower red limit 
# LY         - Lower yellow limit 
# UY         - Upper yellow limit 
# uR         - Upper red limit 
# uR         - Upper red limit 
#
StateFile	MSID	EGSEMSID	VALIDFLAG	LR	LY	UY	UR
---------	----	--------	---------	--	--	--	--
HRC-I.alarm		SelectedMotor	1	0	0	0	0
HRC-I.alarm		M_CmdMvStepsA	1	-1	-1	1	2
HRC-I.alarm		M_CmdMvStepsB	1	-1	0	2	2
HRC-I.alarm		S_BusSelCeaALvps	1	-1	-1	1	1
HRC-I.alarm		S_BusSelCeaBLvps	1	0	0	2	2
HRC-I.alarm		S_BusSelImgHvps	1	-1	-1	1	1
HRC-I.alarm		S_BusSelSpecHvps	1	-1	-1	1	1
HRC-I.alarm		S_BusSelShldAHvps	1	-1	-1	1	1
HRC-I.alarm		S_BusSelShldBHvps	1	-1	-1	1	1
HRC-I.alarm		S_ShldPmtSelPreampA	1	-1	-1	1	1
HRC-I.alarm		S_ShldPmtSelPreampB	1	0	0	2	2
HRC-I.alarm		S_DetSelPreampA	1	-1	-1	1	1
HRC-I.alarm		S_DetSelPreampB	1	0	0	2	2
HRC-I.alarm		S_FailSafeMasterRelay	1	0	0	2	2
HRC-I.alarm		S_FailSafeCalSrcRelay	1	0	0	2	2
HRC-I.alarm		S_FailSafePYShutter	1	0	0	2	2
HRC-I.alarm		S_FailSafeMYShutter	1	0	0	2	2
HRC-I.alarm		M_StatMvStepsA	0	0	0	0	0
HRC-I.alarm		M_StatMvStepsB	0	0	0	0	0
HRC-I.alarm		M_ClosPriLSActive	0	0	0	0	0
HRC-I.alarm		M_ClosSecLSActive	0	0	0	0	0
HRC-I.alarm		M_OpenPriLSActive	0	0	0	0	0
HRC-I.alarm		M_OpenSecLSActive	0	0	0	0	0
HRC-I.alarm		S_P5LvpsA	1	0	0	2	2
HRC-I.alarm		SecP5BusVA	1	4.0	4.5	5.25	5.5
HRC-I.alarm		SecP15BusVA	1	13.00	14.00	16.00	17.00
HRC-I.alarm		SecM15BusVA	1	-17.00	-16.00	-14.00	-13.00
HRC-I.alarm		SecP24BusVA	1	22.0	23.0	25.0	26.0
HRC-I.alarm		S_P5LvpsB	1	-1	-1	1	1
HRC-I.alarm		SecP5BusVB	1	-.5	-.25	1	1.5
HRC-I.alarm		SecP15BusVB	1	-.5	-.25	1	1.5
HRC-I.alarm		SecM15BusVB	1	-1	-.5	.5	1
HRC-I.alarm		SecP24BusVB	1	-.5	-.25	1	1.5
HRC-I.alarm		S_LvpsP24	1	0	0	2	2
HRC-I.alarm		S_LvpsP15	1	0	0	2	2
